T	43.190780000	-96.118480000	431.0	89.1	-2.2	18.3188	352.83		
T	43.190780000	-96.118150000	430.7	90.0	-1.1	18.3456	26.83		
T	43.190810000	-96.118030000	430.6	71.1	-1.0	18.3559	10.31		
T	43.190820000	-96.118010000	430.6	55.6	0.0	18.3579	1.97		
T	43.190820000	-96.118010000	430.6	55.6		18.3579	0.00		
T	43.190870000	-96.117930000	430.6	49.4	0.0	18.3664	8.55		
T	43.190950000	-96.117870000	430.7	28.7	1.0	18.3766	10.14		
T	43.191000000	-96.117840000	430.8	23.6	1.6	18.3826	6.07		
T	43.193570000	-96.117840000	432.8	0.0	0.7	18.6681	285.52		
T	43.200360000	-96.117850000	436.5	359.9	0.5	19.4225	754.35		
T	43.200360000	-96.117850000	436.5	359.9		19.4225	0.00		
T	43.200340000	-96.098100000	432.9	90.1	-0.2	21.0277	1605.19		
T	43.200560000	-96.086450000	435.3	88.5	0.3	21.9749	947.17		
T	43.200600000	-96.084270000	436.6	88.6	0.7	22.1521	177.24		
T	43.200710000	-96.079860000	436.2	88.0	-0.1	22.5107	358.63		
T	43.200680000	-96.073860000	430.5	90.4	-1.2	22.9984	487.66		
T	43.200730000	-96.068000000	435.5	89.3	1.1	23.4747	476.30		
T	43.200730000	-96.066150000	434.3	90.0	-0.8	23.6250	150.36		
T	43.200740000	-96.060100000	439.7	89.9	1.1	24.1168	491.72		
T	43.200750000	-96.051150000	442.6	89.9	0.4	24.8442	727.41		
T	43.200760000	-96.047950000	443.7	89.8	0.4	25.1043	260.08		
T	43.200780000	-96.040310000	442.4	89.8	-0.2	25.7252	620.94		
T	43.200750000	-96.031260000	434.7	90.3	-1.1	26.4607	735.55		
T	43.200700000	-96.025360000	433.0	90.7	-0.4	26.9403	479.55		
T	43.200700000	-96.021330000	430.0	90.0	-0.9	27.2678	327.54		
T	43.200700000	-96.020440000	430.2	90.0	0.3	27.3402	72.33		
T	43.200700000	-96.010510000	439.1	90.0	1.1	28.1472	807.06		
T	43.200700000	-96.010510000	439.1	90.0		28.1472	0.00		
T	43.199880000	-96.010450000	437.8	176.9	-1.4	28.2385	91.23		
T	43.193460000	-96.010190000	430.1	178.3	-1.1	28.9520	713.55		
T	43.193460000	-96.010190000	430.1	178.3		28.9520	0.00		
T	43.192240000	-96.010150000	429.9	178.6	-0.1	29.0876	135.58		
T	43.191810000	-96.010100000	430.3	175.2	0.8	29.1355	47.94		
T	43.191810000	-96.010100000	430.3	175.2		29.1355	0.00		
T	43.191880000	-96.007370000	432.6	88.0	1.0	29.3576	222.05		
T	43.191910000	-96.005940000	432.5	88.4	-0.1	29.4739	116.29		
T	43.191910000	-96.005940000	432.5	88.4		29.4739	0.00		
T	43.191090000	-96.005890000	433.4	177.5	1.0	29.5651	91.19		
T	43.190910000	-96.005880000	433.6	177.7	1.0	29.5851	20.01		
T	43.189790000	-96.005870000	434.2	179.6	0.5	29.7095	124.43		
T	43.188780000	-96.005830000	433.3	178.3	-0.8	29.8218	112.25		
T	43.187230000	-96.005780000	429.9	178.7	-2.0	29.9940	172.25		
T	43.186220000	-96.005690000	428.3	176.3	-1.4	30.1065	112.45		
T	43.186220000	-96.005690000	428.3	176.3		30.1065	0.00		
T	43.186230000	-96.002750000	430.0	89.7	0.7	30.3455	239.01		
T	43.186230000	-96.000450000	431.5	90.0	0.8	30.5324	186.98		
T	43.186240000	-96.000020000	432.0	88.2	1.4	30.5674	34.97		
T	43.186240000	-95.998190000	433.6	90.0	1.1	30.7162	148.77		
T	43.186250000	-95.994960000	433.0	89.8	-0.2	30.9788	262.58		
T	43.186260000	-95.991600000	435.8	89.8	1.0	31.2519	273.15		
T	43.186260000	-95.990410000	435.5	90.0	-0.3	31.3487	96.74		
T	43.186260000	-95.989770000	436.2	90.0	1.3	31.4007	52.03		
T	43.186260000	-95.988900000	436.1	90.0	-0.1	31.4714	70.73		
T	43.186270000	-95.985350000	434.7	89.8	-0.5	31.7600	288.60		
T	43.186270000	-95.984590000	435.2	90.0	0.8	31.8218	61.78		
